username,cursornum,primary_id,x,y,z,polar_rad,azimuthal_rad,time
hoge,51,32,1101.9447,432.19424,-6.9729004,3.3312285,0.2763772,55
hoge,51,33,994.2767,227.99442,-109.856964,2.36895,3.4631617,55
hoge,51,34,896.14026,1035.0486,-181.69675,1.9177352,3.7004633,56
hoge,51,35,1194.3551,231.0683,-248.11154,2.1574137,0.23117083,58
hoge,51,36,1073.749,334.7246,-75.46443,2.9519708,1.4646461,58
hoge,51,37,901.0198,939.4846,-26.318115,0.6722716,1.9162072,58
hoge,51,38,694.91766,622.5571,-291.39948,0.2098876,4.4440246,59
hoge,51,39,1563.9921,824.1514,-18.771973,3.9701674,3.5904806,59
hoge,51,40,747.0745,824.5933,-193.08865,1.208178,2.0036175,60
hoge,51,41,1475.6238,42.81964,-161.16098,5.173773,5.6987205,60
hoge,51,42,880.39056,521.06006,-87.14305,0.44376388,0.62031734,60
hoge,51,43,1583.8065,305.45523,-181.6863,4.7270308,1.7135315,61
hoge,51,44,971.4759,538.0664,-245.40637,0.005616482,2.803098,61
hoge,51,45,1395.1625,157.7148,-261.45605,2.9635825,3.325731,61
hoge,51,46,1160.9851,6.1861825,-271.97745,6.072109,1.577554,62
hoge,51,47,1676.3496,906.78436,-191.5415,5.9877315,5.4627833,62
hoge,51,48,1497.3439,522.6834,-87.70723,3.1351564,5.1708627,63
hoge,51,49,1409.814,415.16867,-197.54959,3.7956252,0.23976316,64
hoge,51,50,822.6228,1029.1692,-60.978485,4.957354,3.4215689,64
hoge,51,0,280.76593,112.53575,-293.8926,0.0,0.0,77
hoge,51,1,342.84863,551.22845,-30.997253,2.924597,1.0630363,77
hoge,51,2,1322.7997,4.2247367,-34.427734,5.1344748,6.11265,77
hoge,51,3,503.86597,597.8645,-251.75444,1.3870026,1.8216723,77
hoge,51,4,400.05582,300.75195,-72.06087,4.361919,5.787742,77
hoge,51,5,1135.6425,720.71094,-152.96347,5.2102046,6.170292,77
hoge,51,6,1687.2344,20.387192,-248.83324,5.4972744,3.8877773,77
hoge,51,7,325.49664,137.84991,-181.67899,1.9705107,1.6263338,78
hoge,51,8,181.48969,863.729,-44.425476,2.2899616,2.424162,78
hoge,51,9,1804.1167,889.3566,-210.1579,4.731498,1.56543,78
hoge,51,10,1193.2424,241.86107,-26.79654,1.0476127,2.377562,78
hoge,51,11,945.56934,694.76764,-11.081085,1.698225,1.4216815,78
hoge,51,12,1772.309,635.1886,-14.924713,4.929878,0.79491705,78
hoge,51,13,655.4607,896.3584,-49.37216,0.884374,4.854122,78
hoge,51,14,509.25818,527.00476,-34.749542,4.5476418,1.1179668,78
hoge,51,15,804.7442,48.181786,-224.28604,3.423165,5.6818056,79
hoge,51,16,717.3794,242.0209,-27.37564,2.3305883,4.3409953,79
hoge,51,17,1916.9216,22.882675,-162.14124,5.1291785,1.8490438,79
hoge,51,18,209.38672,832.1517,-108.09891,5.684874,4.029958,80
hoge,51,19,1407.9004,485.73523,-63.087646,1.8541944,0.848609,80
hoge,51,20,852.18933,1007.6706,-7.8620605,2.503909,3.3753297,80
hoge,51,21,1614.3013,47.789303,-25.950775,0.067722484,5.674148,80
hoge,51,22,1886.0299,166.82988,-286.9103,2.7353418,4.603263,80
hoge,51,23,430.13696,579.058,-19.47168,1.1450493,5.0299335,80
hoge,51,24,1141.6538,999.5741,-183.07544,4.953732,0.48135313,80
hoge,51,25,1344.1243,654.1538,-167.8125,4.757224,6.0697627,80
hoge,51,26,840.3675,199.03345,-246.15579,3.883441,1.9177045,81
hoge,51,27,1194.8612,836.2455,-236.09537,0.74533343,2.670788,81
hoge,51,28,1124.4846,104.81768,-109.3116,1.721834,1.8902127,81
hoge,51,29,1526.6509,752.02856,-4.4577637,2.5447981,6.1578946,81
hoge,51,30,60.18631,820.37305,-149.43404,5.7742295,4.5109534,81
hoge,51,31,747.8217,212.54921,-85.313705,1.2939596,5.4179096,81
hoge,51,32,1101.9447,432.19424,-6.9729004,3.3312285,0.2763772,81
hoge,51,33,994.2767,227.99442,-109.856964,2.36895,3.4631617,81
hoge,51,34,896.14026,1035.0486,-181.69675,1.9177352,3.7004633,81
hoge,51,35,1194.3551,231.0683,-248.11154,2.1574137,0.23117083,82
hoge,51,36,1073.749,334.7246,-75.46443,2.9519708,1.4646461,82
hoge,51,37,901.0198,939.4846,-26.318115,0.6722716,1.9162072,82
hoge,51,38,694.91766,622.5571,-291.39948,0.2098876,4.4440246,82
hoge,51,39,1563.9921,824.1514,-18.771973,3.9701674,3.5904806,82
hoge,51,40,747.0745,824.5933,-193.08865,1.208178,2.0036175,82
hoge,51,41,1475.6238,42.81964,-161.16098,5.173773,5.6987205,82
hoge,51,42,880.39056,521.06006,-87.14305,0.44376388,0.62031734,82
hoge,51,43,1583.8065,305.45523,-181.6863,4.7270308,1.7135315,82
hoge,51,44,971.4759,538.0664,-245.40637,0.005616482,2.803098,82
hoge,51,45,1395.1625,157.7148,-261.45605,2.9635825,3.325731,82
hoge,51,46,1160.9851,6.1861825,-271.97745,6.072109,1.577554,84
hoge,51,47,1676.3496,906.78436,-191.5415,5.9877315,5.4627833,84
hoge,51,48,1497.3439,522.6834,-87.70723,3.1351564,5.1708627,84
hoge,51,49,1409.814,415.16867,-197.54959,3.7956252,0.23976316,84
hoge,51,50,822.6228,1029.1692,-60.978485,4.957354,3.4215689,84
hoge,51,0,280.76593,112.53575,-293.8926,0.0,0.0,97
hoge,51,1,342.84863,551.22845,-30.997253,2.924597,1.0630363,97
hoge,51,2,1322.7997,4.2247367,-34.427734,5.1344748,6.11265,97
hoge,51,3,503.86597,597.8645,-251.75444,1.3870026,1.8216723,98
hoge,51,4,400.05582,300.75195,-72.06087,4.361919,5.787742,98
hoge,51,5,1135.6425,720.71094,-152.96347,5.2102046,6.170292,98
hoge,51,6,1687.2344,20.387192,-248.83324,5.4972744,3.8877773,98
hoge,51,7,325.49664,137.84991,-181.67899,1.9705107,1.6263338,99
hoge,51,8,181.48969,863.729,-44.425476,2.2899616,2.424162,99
hoge,51,9,1804.1167,889.3566,-210.1579,4.731498,1.56543,100
hoge,51,10,1193.2424,241.86107,-26.79654,1.0476127,2.377562,100
hoge,51,11,945.56934,694.76764,-11.081085,1.698225,1.4216815,100
hoge,51,12,1772.309,635.1886,-14.924713,4.929878,0.79491705,100
hoge,51,13,655.4607,896.3584,-49.37216,0.884374,4.854122,100
hoge,51,14,509.25818,527.00476,-34.749542,4.5476418,1.1179668,100
hoge,51,15,804.7442,48.181786,-224.28604,3.423165,5.6818056,100
hoge,51,16,717.3794,242.0209,-27.37564,2.3305883,4.3409953,100
hoge,51,17,1916.9216,22.882675,-162.14124,5.1291785,1.8490438,101
hoge,51,18,209.38672,832.1517,-108.09891,5.684874,4.029958,101
hoge,51,19,1407.9004,485.73523,-63.087646,1.8541944,0.848609,101
hoge,51,20,852.18933,1007.6706,-7.8620605,2.503909,3.3753297,101
hoge,51,21,1614.3013,47.789303,-25.950775,0.067722484,5.674148,101
hoge,51,22,1886.0299,166.82988,-286.9103,2.7353418,4.603263,102
hoge,51,23,430.13696,579.058,-19.47168,1.1450493,5.0299335,102
hoge,51,24,1141.6538,999.5741,-183.07544,4.953732,0.48135313,102
hoge,51,25,1344.1243,654.1538,-167.8125,4.757224,6.0697627,102
hoge,51,26,840.3675,199.03345,-246.15579,3.883441,1.9177045,102
hoge,51,27,1194.8612,836.2455,-236.09537,0.74533343,2.670788,102
hoge,51,28,1124.4846,104.81768,-109.3116,1.721834,1.8902127,103
hoge,51,29,1526.6509,752.02856,-4.4577637,2.5447981,6.1578946,103
hoge,51,30,60.18631,820.37305,-149.43404,5.7742295,4.5109534,103
hoge,51,31,747.8217,212.54921,-85.313705,1.2939596,5.4179096,103
hoge,51,32,1101.9447,432.19424,-6.9729004,3.3312285,0.2763772,103
hoge,51,33,994.2767,227.99442,-109.856964,2.36895,3.4631617,104
hoge,51,34,896.14026,1035.0486,-181.69675,1.9177352,3.7004633,104
hoge,51,35,1194.3551,231.0683,-248.11154,2.1574137,0.23117083,105
hoge,51,36,1073.749,334.7246,-75.46443,2.9519708,1.4646461,105
hoge,51,37,901.0198,939.4846,-26.318115,0.6722716,1.9162072,105
hoge,51,38,694.91766,622.5571,-291.39948,0.2098876,4.4440246,106
hoge,51,39,1563.9921,824.1514,-18.771973,3.9701674,3.5904806,106
hoge,51,40,747.0745,824.5933,-193.08865,1.208178,2.0036175,106
hoge,51,41,1475.6238,42.81964,-161.16098,5.173773,5.6987205,106
hoge,51,42,880.39056,521.06006,-87.14305,0.44376388,0.62031734,106
hoge,51,43,1583.8065,305.45523,-181.6863,4.7270308,1.7135315,106
hoge,51,44,971.4759,538.0664,-245.40637,0.005616482,2.803098,108
hoge,51,45,1395.1625,157.7148,-261.45605,2.9635825,3.325731,108
hoge,51,46,1160.9851,6.1861825,-271.97745,6.072109,1.577554,108
hoge,51,47,1676.3496,906.78436,-191.5415,5.9877315,5.4627833,108
hoge,51,48,1497.3439,522.6834,-87.70723,3.1351564,5.1708627,108
hoge,51,49,1409.814,415.16867,-197.54959,3.7956252,0.23976316,108
hoge,51,50,822.6228,1029.1692,-60.978485,4.957354,3.4215689,108
hoge,51,0,280.76593,112.53575,-293.8926,0.0,0.0,117
hoge,51,1,342.84863,551.22845,-30.997253,2.924597,1.0630363,117
hoge,51,2,1322.7997,4.2247367,-34.427734,5.1344748,6.11265,117
hoge,51,3,503.86597,597.8645,-251.75444,1.3870026,1.8216723,117
hoge,51,4,400.05582,300.75195,-72.06087,4.361919,5.787742,117
hoge,51,5,1135.6425,720.71094,-152.96347,5.2102046,6.170292,117
hoge,51,6,1687.2344,20.387192,-248.83324,5.4972744,3.8877773,117
hoge,51,7,325.49664,137.84991,-181.67899,1.9705107,1.6263338,117
hoge,51,8,181.48969,863.729,-44.425476,2.2899616,2.424162,118
hoge,51,9,1804.1167,889.3566,-210.1579,4.731498,1.56543,119
hoge,51,10,1193.2424,241.86107,-26.79654,1.0476127,2.377562,119
hoge,51,11,945.56934,694.76764,-11.081085,1.698225,1.4216815,119
hoge,51,12,1772.309,635.1886,-14.924713,4.929878,0.79491705,119
hoge,51,13,655.4607,896.3584,-49.37216,0.884374,4.854122,119
hoge,51,14,509.25818,527.00476,-34.749542,4.5476418,1.1179668,119
hoge,51,15,804.7442,48.181786,-224.28604,3.423165,5.6818056,119
hoge,51,16,717.3794,242.0209,-27.37564,2.3305883,4.3409953,119
hoge,51,17,1916.9216,22.882675,-162.14124,5.1291785,1.8490438,120
hoge,51,18,209.38672,832.1517,-108.09891,5.684874,4.029958,120
hoge,51,19,1407.9004,485.73523,-63.087646,1.8541944,0.848609,120
hoge,51,20,852.18933,1007.6706,-7.8620605,2.503909,3.3753297,120
hoge,51,21,1614.3013,47.789303,-25.950775,0.067722484,5.674148,121
hoge,51,22,1886.0299,166.82988,-286.9103,2.7353418,4.603263,121
hoge,51,23,430.13696,579.058,-19.47168,1.1450493,5.0299335,121
hoge,51,24,1141.6538,999.5741,-183.07544,4.953732,0.48135313,121
hoge,51,25,1344.1243,654.1538,-167.8125,4.757224,6.0697627,121
hoge,51,26,840.3675,199.03345,-246.15579,3.883441,1.9177045,121
hoge,51,27,1194.8612,836.2455,-236.09537,0.74533343,2.670788,121
hoge,51,28,1124.4846,104.81768,-109.3116,1.721834,1.8902127,122
hoge,51,29,1526.6509,752.02856,-4.4577637,2.5447981,6.1578946,122
hoge,51,30,60.18631,820.37305,-149.43404,5.7742295,4.5109534,122
hoge,51,31,747.8217,212.54921,-85.313705,1.2939596,5.4179096,122
hoge,51,32,1101.9447,432.19424,-6.9729004,3.3312285,0.2763772,122
hoge,51,33,994.2767,227.99442,-109.856964,2.36895,3.4631617,123
hoge,51,34,896.14026,1035.0486,-181.69675,1.9177352,3.7004633,123
hoge,51,35,1194.3551,231.0683,-248.11154,2.1574137,0.23117083,124
hoge,51,36,1073.749,334.7246,-75.46443,2.9519708,1.4646461,124
hoge,51,37,901.0198,939.4846,-26.318115,0.6722716,1.9162072,124
hoge,51,38,694.91766,622.5571,-291.39948,0.2098876,4.4440246,124
hoge,51,39,1563.9921,824.1514,-18.771973,3.9701674,3.5904806,124
hoge,51,40,747.0745,824.5933,-193.08865,1.208178,2.0036175,125
hoge,51,41,1475.6238,42.81964,-161.16098,5.173773,5.6987205,125
hoge,51,42,880.39056,521.06006,-87.14305,0.44376388,0.62031734,125
hoge,51,43,1583.8065,305.45523,-181.6863,4.7270308,1.7135315,125
hoge,51,44,971.4759,538.0664,-245.40637,0.005616482,2.803098,125
hoge,51,45,1395.1625,157.7148,-261.45605,2.9635825,3.325731,126
hoge,51,46,1160.9851,6.1861825,-271.97745,6.072109,1.577554,126
hoge,51,47,1676.3496,906.78436,-191.5415,5.9877315,5.4627833,126
hoge,51,48,1497.3439,522.6834,-87.70723,3.1351564,5.1708627,126
hoge,51,49,1409.814,415.16867,-197.54959,3.7956252,0.23976316,126
hoge,51,50,822.6228,1029.1692,-60.978485,4.957354,3.4215689,126
hoge,51,0,280.76593,112.53575,-293.8926,0.0,0.0,132
hoge,51,1,342.84863,551.22845,-30.997253,2.924597,1.0630363,133
hoge,51,2,1322.7997,4.2247367,-34.427734,5.1344748,6.11265,133
hoge,51,3,503.86597,597.8645,-251.75444,1.3870026,1.8216723,133
hoge,51,4,400.05582,300.75195,-72.06087,4.361919,5.787742,133
hoge,51,5,1135.6425,720.71094,-152.96347,5.2102046,6.170292,134
hoge,51,6,1687.2344,20.387192,-248.83324,5.4972744,3.8877773,134
hoge,51,7,325.49664,137.84991,-181.67899,1.9705107,1.6263338,134
hoge,51,8,181.48969,863.729,-44.425476,2.2899616,2.424162,134
hoge,51,9,1804.1167,889.3566,-210.1579,4.731498,1.56543,134
hoge,51,10,1193.2424,241.86107,-26.79654,1.0476127,2.377562,135
hoge,51,11,945.56934,694.76764,-11.081085,1.698225,1.4216815,135
hoge,51,12,1772.309,635.1886,-14.924713,4.929878,0.79491705,135
hoge,51,13,655.4607,896.3584,-49.37216,0.884374,4.854122,135
hoge,51,14,509.25818,527.00476,-34.749542,4.5476418,1.1179668,135
hoge,51,15,804.7442,48.181786,-224.28604,3.423165,5.6818056,136
hoge,51,16,717.3794,242.0209,-27.37564,2.3305883,4.3409953,136
hoge,51,17,1916.9216,22.882675,-162.14124,5.1291785,1.8490438,136
hoge,51,18,209.38672,832.1517,-108.09891,5.684874,4.029958,136
hoge,51,19,1407.9004,485.73523,-63.087646,1.8541944,0.848609,136
hoge,51,20,852.18933,1007.6706,-7.8620605,2.503909,3.3753297,137
hoge,51,21,1614.3013,47.789303,-25.950775,0.067722484,5.674148,137
hoge,51,22,1886.0299,166.82988,-286.9103,2.7353418,4.603263,137
hoge,51,23,430.13696,579.058,-19.47168,1.1450493,5.0299335,137
hoge,51,24,1141.6538,999.5741,-183.07544,4.953732,0.48135313,137
hoge,51,25,1344.1243,654.1538,-167.8125,4.757224,6.0697627,138
hoge,51,26,840.3675,199.03345,-246.15579,3.883441,1.9177045,138
hoge,51,27,1194.8612,836.2455,-236.09537,0.74533343,2.670788,138
hoge,51,28,1124.4846,104.81768,-109.3116,1.721834,1.8902127,138
hoge,51,29,1526.6509,752.02856,-4.4577637,2.5447981,6.1578946,138
hoge,51,30,60.18631,820.37305,-149.43404,5.7742295,4.5109534,139
hoge,51,31,747.8217,212.54921,-85.313705,1.2939596,5.4179096,139
hoge,51,32,1101.9447,432.19424,-6.9729004,3.3312285,0.2763772,139
hoge,51,33,994.2767,227.99442,-109.856964,2.36895,3.4631617,140
hoge,51,34,896.14026,1035.0486,-181.69675,1.9177352,3.7004633,140
hoge,51,35,1194.3551,231.0683,-248.11154,2.1574137,0.23117083,141
hoge,51,36,1073.749,334.7246,-75.46443,2.9519708,1.4646461,141
hoge,51,37,901.0198,939.4846,-26.318115,0.6722716,1.9162072,141
hoge,51,38,694.91766,622.5571,-291.39948,0.2098876,4.4440246,142
hoge,51,39,1563.9921,824.1514,-18.771973,3.9701674,3.5904806,142
hoge,51,40,747.0745,824.5933,-193.08865,1.208178,2.0036175,142
hoge,51,41,1475.6238,42.81964,-161.16098,5.173773,5.6987205,142
hoge,51,42,880.39056,521.06006,-87.14305,0.44376388,0.62031734,142
hoge,51,43,1583.8065,305.45523,-181.6863,4.7270308,1.7135315,143
hoge,51,44,971.4759,538.0664,-245.40637,0.005616482,2.803098,143
hoge,51,45,1395.1625,157.7148,-261.45605,2.9635825,3.325731,143
hoge,51,46,1160.9851,6.1861825,-271.97745,6.072109,1.577554,143
hoge,51,47,1676.3496,906.78436,-191.5415,5.9877315,5.4627833,143
hoge,51,48,1497.3439,522.6834,-87.70723,3.1351564,5.1708627,144
hoge,51,49,1409.814,415.16867,-197.54959,3.7956252,0.23976316,144
hoge,51,50,822.6228,1029.1692,-60.978485,4.957354,3.4215689,144
hoge,51,0,280.76593,112.53575,-293.8926,0.0,0.0,149
hoge,51,1,342.84863,551.22845,-30.997253,2.924597,1.0630363,150
hoge,51,2,1322.7997,4.2247367,-34.427734,5.1344748,6.11265,150
hoge,51,3,503.86597,597.8645,-251.75444,1.3870026,1.8216723,150
hoge,51,4,400.05582,300.75195,-72.06087,4.361919,5.787742,150
hoge,51,5,1135.6425,720.71094,-152.96347,5.2102046,6.170292,150
hoge,51,6,1687.2344,20.387192,-248.83324,5.4972744,3.8877773,151
hoge,51,7,325.49664,137.84991,-181.67899,1.9705107,1.6263338,151
hoge,51,8,181.48969,863.729,-44.425476,2.2899616,2.424162,151
hoge,51,9,1804.1167,889.3566,-210.1579,4.731498,1.56543,151
hoge,51,10,1193.2424,241.86107,-26.79654,1.0476127,2.377562,151
hoge,51,11,945.56934,694.76764,-11.081085,1.698225,1.4216815,151
hoge,51,12,1772.309,635.1886,-14.924713,4.929878,0.79491705,151
hoge,51,13,655.4607,896.3584,-49.37216,0.884374,4.854122,151
hoge,51,14,509.25818,527.00476,-34.749542,4.5476418,1.1179668,151
hoge,51,15,804.7442,48.181786,-224.28604,3.423165,5.6818056,152
hoge,51,16,717.3794,242.0209,-27.37564,2.3305883,4.3409953,152
hoge,51,17,1916.9216,22.882675,-162.14124,5.1291785,1.8490438,152
hoge,51,18,209.38672,832.1517,-108.09891,5.684874,4.029958,152
hoge,51,19,1407.9004,485.73523,-63.087646,1.8541944,0.848609,152
hoge,51,20,852.18933,1007.6706,-7.8620605,2.503909,3.3753297,153
hoge,51,21,1614.3013,47.789303,-25.950775,0.067722484,5.674148,153
